These are the test sites where the Sx genecology/CC provenance trial is planted.,,,
,,,
Site,lat_S,long_S,elev_S
Alex,52.0291,-123.526001,1040
Dunc,50.3818,-116.921898,640
Ftne,58.73,-123.710297,640
Harr,49.34156,-121.995583,166
High,59.1419,-117.567703,334
Jord,48.4262,-124.022903,120
Kala,50.2434,-119.276802,440
Mayo,63.5425,-137.342438,456
Naku,49.88695,-117.889603,1107
Pars,54.5372,-122.028099,805
Pine,55.1474,-122.776398,811
Reve,50.7656,-117.9579,910
Cran,49.4097,-115.9578,1370
Skim,50.7841,-119.4222,506
Terr,54.4847,-128.569,167
Tete,52.9642,-119.416901,820
Well,53.155,-121.555603,1230
Whit,54.0564,-115.790703,816
