tree_ID,meas_seq,Site,Col,Row,Rep,Blk,Seedlot,Tree,HT3,Dam3,HT6,Dam6,Comment6,HT10,Dam10,Comment10
1070,1070,Cran,17,46,5,2,348,2,28,,37,,,94,a,
1072,1072,Cran,17,48,5,2,348,4,29,,36,,,61,a,
3502,3502,Cran,55,62,7,12,348,2,29,,63,,,121,,
755,755,Cran,12,14,1,6,348,2,32,,46,,,98,a,
1118,1118,Cran,18,35,4,12,348,3,34,,51,,,118,a,
334,334,Cran,6,51,6,1,348,3,34,,65,,,135,,
1071,1071,Cran,17,47,5,2,348,3,35,,57,,,122,a,
1069,1069,Cran,17,45,5,2,348,1,36,,49,,,70,a,
2293,2293,Cran,36,28,3,9,348,4,37,,49,,,63,a,
754,754,Cran,12,15,1,6,348,3,37,,64,,,125,a,
753,753,Cran,12,16,1,6,348,4,37,,74,,,197,,
3504,3504,Cran,55,64,7,12,348,4,38,,55,,,119,a,
1120,1120,Cran,18,33,4,12,348,1,39,,51,,,73,a,
3501,3501,Cran,55,61,7,12,348,1,39,,67,,,152,a,
1119,1119,Cran,18,34,4,12,348,2,42,,55,,,123,,
2312,2312,Cran,37,24,2,15,348,4,42,,69,,,129,a,
756,756,Cran,12,13,1,6,348,1,42,,66,,,147,a,
1117,1117,Cran,18,36,4,12,348,4,43,,64,,,128,a,
3503,3503,Cran,55,63,7,12,348,3,44,,61,,,122,a,
2296,2296,Cran,36,25,3,9,348,1,44,,91,,,161,a,
333,333,Cran,6,52,6,1,348,4,44,,71,,,173,a,
2311,2311,Cran,37,23,2,15,348,3,45,,70,,,138,a,
2310,2310,Cran,37,22,2,15,348,2,46,,67,,,125,a,
3656,3656,Cran,58,73,8,15,348,1,46,,70,,,127,,
2295,2295,Cran,36,26,3,9,348,2,46,,69,,,142,,
3653,3653,Cran,58,76,8,15,348,4,47,,67,,,154,a,
3654,3654,Cran,58,75,8,15,348,3,48,,71,,,151,a,
2294,2294,Cran,36,27,3,9,348,3,54,,67,,,110,a,
335,335,Cran,6,50,6,1,348,2,54,,81,,,162,a,
2309,2309,Cran,37,21,2,15,348,1,54,,91,,,174,,
336,336,Cran,6,49,6,1,348,1,56,,84,,,202,a,
3655,3655,Cran,58,74,8,15,348,2,59,,80,,,180,,
5163,1067,Dunc,16,94,5,15,348,2,33,,91,k,,126,,
5004,908,Dunc,14,53,4,5,348,1,37,,68,,,,,
5162,1066,Dunc,16,95,5,15,348,3,47,,61,d,,112,,
5161,1065,Dunc,16,96,5,15,348,4,58,,114,,,183,,
4230,134,Dunc,3,122,6,1,348,2,63,,86,,,129,,
4120,24,Dunc,1,108,8,1,348,4,65,,112,,,145,,
5280,1184,Dunc,17,88,1,2,348,4,65,,104,,,,,
7637,3541,Dunc,36,28,7,16,348,4,66,,118,,,,,
6544,2448,Dunc,28,65,3,11,348,1,67,,,,,,,
4118,22,Dunc,1,106,8,1,348,2,67,,99,,,,,
7638,3542,Dunc,36,27,7,16,348,3,68,,,,,,,
4119,23,Dunc,1,107,8,1,348,3,68,,,,,,,
5002,906,Dunc,14,55,4,5,348,3,69,,111,,,174,,
6124,2028,Dunc,25,44,2,15,348,4,69,,95,,,268,,
4232,136,Dunc,3,124,6,1,348,4,69,,,,,,,
5277,1181,Dunc,17,85,1,2,348,1,75,,131,,,169,,
4229,133,Dunc,3,121,6,1,348,1,76,,122,,,194,,
4117,21,Dunc,1,105,8,1,348,1,76,,119,,,,,
5164,1068,Dunc,16,93,5,15,348,1,80,,140,,,221,,
6543,2447,Dunc,28,66,3,11,348,2,83,,,,,,,
7639,3543,Dunc,36,26,7,16,348,2,86,,120,,,210,,
7640,3544,Dunc,36,25,7,16,348,1,88,,,,,,,
5278,1182,Dunc,17,86,1,2,348,2,92,,134,,,,,
6541,2445,Dunc,28,68,3,11,348,4,94,,191,,,288,,
6123,2027,Dunc,25,43,2,15,348,3,116,,178,,,271,,
6122,2026,Dunc,25,42,2,15,348,2,,,,,,,,
